Protein.accession	Protein.description	Gene.name	G1	G2	G3	label
A0A8V1A9A7	LDL receptor related protein 5 OS=Gallus gallus OX=9031 GN=LRP5 PE=4 SV=1	LRP5	0.922122057835096	0.7715779747485	1.3062999674164	A0A8V1A9A7
A0A3Q2U2N5	Phospholipid-transporting ATPase OS=Gallus gallus OX=9031 GN=ATP8A1 PE=3 SV=1	ATP8A1	0.941149356750151	0.760060647310001	1.29878999593985	A0A3Q2U2N5
A0A8V0XGY8	Tumor protein D52 OS=Gallus gallus OX=9031 GN=TPD52 PE=1 SV=1	TPD52	0.956379696588587	0.743448848451501	1.30017145495991	A0A8V0XGY8
A0A8V0YNQ0	Pleiotrophin OS=Gallus gallus OX=9031 GN=PTN PE=1 SV=1	PTN	0.908909482750899	0.835525785422149	1.25556473182695	A0A8V0YNQ0
A0A8V0Z1E9	Beta-mannosidase OS=Gallus gallus OX=9031 GN=MANBA PE=1 SV=1	MANBA	0.900592233239091	0.836690896776582	1.26271686998433	A0A8V0Z1E9
A0A1D5PRH9	Mal, T-cell differentiation protein 2 OS=Gallus gallus OX=9031 GN=MAL2 PE=1 SV=1	MAL2	0.866017560005306	0.849384532076671	1.28459790791802	A0A1D5PRH9
A0A8V0YSI0	F5/8 type C domain-containing protein OS=Gallus gallus OX=9031 PE=4 SV=1	--	0.894823946338868	0.818156831326499	1.28701922233463	A0A8V0YSI0
A0A8V0ZKS6	Neogenin 1 OS=Gallus gallus OX=9031 GN=NEO1 PE=3 SV=1	NEO1	0.881327446596469	0.818416138625721	1.30025641477781	A0A8V0ZKS6
A0A1D5PE57	Collagen type III alpha 1 chain OS=Gallus gallus OX=9031 GN=COL3A1 PE=1 SV=1	COL3A1	0.884917195127515	0.812010779949555	1.30307202492293	A0A1D5PE57
A0A1D5PHW5	non-specific serine/threonine protein kinase OS=Gallus gallus OX=9031 GN=NRK PE=3 SV=2	NRK	0.896020964190762	0.803599130634136	1.3003799051751	A0A1D5PHW5
A0A8V0ZPH9	receptor protein-tyrosine kinase OS=Gallus gallus OX=9031 GN=EPHA1 PE=4 SV=1	EPHA1	0.893896697682857	0.80115093603286	1.30495236628428	A0A8V0ZPH9
A0A8V0YDT4	Fibulin-1 OS=Gallus gallus OX=9031 GN=FBLN1 PE=3 SV=1	FBLN1	0.864113919098662	0.817576089507863	1.31830999139347	A0A8V0YDT4
A0A8V0ZG43	Developmentally regulated GTP binding protein 1 OS=Gallus gallus OX=9031 GN=DRG1 PE=1 SV=1	DRG1	0.884260352272722	0.798019076324562	1.31772057140272	A0A8V0ZG43
A0A8V1A3N1	receptor protein-tyrosine kinase OS=Gallus gallus OX=9031 GN=MST1R PE=1 SV=1	MST1R	0.877366156923584	0.801279756323485	1.32135408675293	A0A8V1A3N1
A0A8V0ZP32	Carboxypeptidase N subunit 1 OS=Gallus gallus OX=9031 GN=CPN1 PE=1 SV=1	CPN1	0.875124926494437	0.800137386181745	1.32473768732382	A0A8V0ZP32
A0A8V0ZKI8	LDL receptor related protein 6 OS=Gallus gallus OX=9031 GN=LRP6 PE=4 SV=1	LRP6	0.871663233730772	0.797630800030694	1.33070596623853	A0A8V0ZKI8
Q00649	Heat shock protein beta-1 OS=Gallus gallus OX=9031 GN=HSPB1 PE=2 SV=1	HSPB1	0.858236691351125	0.800607796562806	1.34115551208607	Q00649
A0A8V0Z865	Large ribosomal subunit protein uL2 OS=Gallus gallus OX=9031 GN=MRPL2 PE=1 SV=1	MRPL2	0.861846294811591	0.78833444049937	1.34981926468904	A0A8V0Z865
A0A8V0Z5R3	Protein tweety homolog OS=Gallus gallus OX=9031 GN=TTYH3 PE=1 SV=1	TTYH3	0.905732164781706	0.748457447884812	1.34581038733348	A0A8V0Z5R3
A0A8V1ADF6	Neurturin OS=Gallus gallus OX=9031 GN=NRTN PE=3 SV=1	NRTN	0.894642546029956	0.740911205427143	1.3644462485429	A0A8V1ADF6
A0A8V1ACD6	Semaphorin 3F OS=Gallus gallus OX=9031 GN=SEMA3F PE=3 SV=1	SEMA3F	0.897297202367363	0.729314713315697	1.37338808431694	A0A8V1ACD6
A0A8V1A9L3	Prune exopolyphosphatase 1 OS=Gallus gallus OX=9031 GN=PRUNE1 PE=1 SV=1	PRUNE1	0.852279423595317	0.761349661178766	1.38637091522592	A0A8V1A9L3
A0A8V0WZN3	Galactose-3-O-sulfotransferase 1 OS=Gallus gallus OX=9031 GN=GAL3ST1 PE=3 SV=1	GAL3ST1	0.845995893223819	0.753713090468737	1.40029101630744	A0A8V0WZN3
A0A8V0ZTN5	Uncharacterized protein OS=Gallus gallus OX=9031 PE=4 SV=1	--	0.874991688886953	0.734890396480215	1.39011791463283	A0A8V0ZTN5
E1C744	Serine protease 23 OS=Gallus gallus OX=9031 GN=PRSS23 PE=3 SV=1	PRSS23	0.871277093404023	0.721720041322314	1.40700286527366	E1C744
A0A8V1A2P5	Tetraspanin OS=Gallus gallus OX=9031 GN=CD9 PE=1 SV=1	CD9	0.947397206094558	0.724783937361147	1.3278188565443	A0A8V1A2P5
A0A8V0XCX4	phosphoinositide 5-phosphatase OS=Gallus gallus OX=9031 GN=SYNJ2 PE=1 SV=1	SYNJ2	0.926015752020914	0.725591739013973	1.34839250896511	A0A8V0XCX4
A0A8V0XAE5	Uncharacterized protein OS=Gallus gallus OX=9031 GN=LOC121108470 PE=4 SV=1	LOC121108470	0.951127732957322	0.712592834424246	1.33627943261843	A0A8V0XAE5
A0A8V0WZJ4	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase OS=Gallus gallus OX=9031 GN=B3GAT3 PE=3 SV=1	B3GAT3	0.948028983458592	0.705818680613909	1.3461523359275	A0A8V0WZJ4
A0A8V1A449	Kinesin-like protein OS=Gallus gallus OX=9031 GN=KIF9 PE=3 SV=1	KIF9	0.960129669796177	0.688104988685214	1.35176534151861	A0A8V1A449
A0A8V0ZX85	FXYD domain-containing ion transport regulator OS=Gallus gallus OX=9031 PE=3 SV=1	--	0.946000656268664	0.690880934451036	1.3631184092803	A0A8V0ZX85
A0A8V1AEM5	Methanethiol oxidase OS=Gallus gallus OX=9031 GN=LOC425662 PE=3 SV=1	LOC425662	0.910210345513719	0.715129004443855	1.37466065004243	A0A8V1AEM5
A0A8V0YC98	Alpha-galactosidase OS=Gallus gallus OX=9031 GN=NAGA PE=1 SV=1	NAGA	0.894900620136615	0.712342272580664	1.39275710728272	A0A8V0YC98
A0A8V1AFP7	Meteorin-like protein OS=Gallus gallus OX=9031 GN=METRNL PE=3 SV=1	METRNL	0.916976413713066	0.692471035881553	1.39055255040538	A0A8V1AFP7
P33005	Anosmin-1 OS=Gallus gallus OX=9031 GN=ANOS1 PE=2 SV=2	ANOS1	0.836260120169051	0.725186491165538	1.43855338866541	P33005
E1C3Z8	Dermatan sulfate epimerase OS=Gallus gallus OX=9031 GN=DSE PE=3 SV=3	DSE	0.855139040652945	0.706336551970207	1.43852440737685	E1C3Z8
A0A8V0XPE8	Latent transforming growth factor beta binding protein 1 OS=Gallus gallus OX=9031 GN=LTBP1 PE=1 SV=1	LTBP1	0.833257280762706	0.702738868618371	1.46400385061892	A0A8V0XPE8
A0A8V0Z6S1	Polypeptide N-acetylgalactosaminyltransferase OS=Gallus gallus OX=9031 GN=GALNT16 PE=1 SV=1	GALNT16	0.884544820867522	0.68651661223367	1.42893856689881	A0A8V0Z6S1
A0A8V0XDT2	Ig-like domain-containing protein OS=Gallus gallus OX=9031 PE=1 SV=1	--	0.853733221132517	0.681125528322197	1.46514125054529	A0A8V0XDT2
A0A8V1A3H9	Macrophage stimulating 1 (hepatocyte growth factor-like) OS=Gallus gallus OX=9031 GN=MST1 PE=1 SV=1	MST1	0.851883603047529	0.679635808900788	1.46848058805168	A0A8V1A3H9
A0A8V0ZGF6	Papilin, proteoglycan like sulfated glycoprotein OS=Gallus gallus OX=9031 GN=PAPLN PE=1 SV=1	PAPLN	0.891429340084365	0.659963922450514	1.44860673746512	A0A8V0ZGF6
A0A8V1AFP1	DUF4455 domain-containing protein OS=Gallus gallus OX=9031 GN=CCDC180 PE=4 SV=1	CCDC180	0.892223293161049	0.648682141330106	1.45909456550884	A0A8V1AFP1
A0A1D5PT01	Discoidin domain receptor tyrosine kinase 1 OS=Gallus gallus OX=9031 GN=DDR1 PE=4 SV=1	DDR1	0.875426330754667	0.659070120329861	1.46550354891547	A0A1D5PT01
A0A8V0ZSD7	Lysosomal acid phosphatase OS=Gallus gallus OX=9031 GN=ACP2 PE=1 SV=1	ACP2	0.832156528074407	0.905629863777508	1.26221360814809	A0A8V0ZSD7
A0A8V0ZTC0	Serine/threonine-protein kinase ULK3 OS=Gallus gallus OX=9031 GN=ULK3 PE=4 SV=1	ULK3	0.830516274436097	0.901588082888453	1.26789564267545	A0A8V0ZTC0
A0A8V0ZR93	Proline rich acidic protein 1 OS=Gallus gallus OX=9031 GN=PRAP1 PE=1 SV=1	PRAP1	0.82075653532033	0.889015430224394	1.29022803445528	A0A8V0ZR93
A0A8V0YVB6	cathepsin X OS=Gallus gallus OX=9031 GN=CTSZ PE=1 SV=1	CTSZ	0.834778865141584	0.871156851795814	1.2940642830626	A0A8V0YVB6
A0A8V0ZF83	Metalloendopeptidase OS=Gallus gallus OX=9031 GN=TLL2 PE=4 SV=1	TLL2	0.814475395207841	0.86259482206116	1.322929782731	A0A8V0ZF83
A0A8V0YGQ5	Suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudo 5 OS=Gallus gallus OX=9031 GN=ST13P5 PE=3 SV=1	ST13P5	0.814094067265815	0.862001660524667	1.32390427220952	A0A8V0YGQ5
A0A8V0Y999	Growth arrest specific 1 OS=Gallus gallus OX=9031 GN=GAS1 PE=4 SV=1	GAS1	0.792378169798934	0.881353910627319	1.32626791957375	A0A8V0Y999
A0A8V0X097	FERM domain-containing protein 8 OS=Gallus gallus OX=9031 GN=FRMD8 PE=4 SV=1	FRMD8	0.769977896853829	0.891907592804167	1.338114510342	A0A8V0X097
A0A8V0YRG2	receptor protein-tyrosine kinase OS=Gallus gallus OX=9031 GN=EPHB2 PE=4 SV=1	EPHB2	0.789677353220061	0.851667478195501	1.35865516858444	A0A8V0YRG2
A0A8V0ZHL4	Prolyl 4-hydroxylase subunit alpha 1 OS=Gallus gallus OX=9031 GN=P4HA1 PE=1 SV=1	P4HA1	0.816850356710252	0.832781418827116	1.35036822446263	A0A8V0ZHL4
Q98938	Indian hedgehog protein OS=Gallus gallus OX=9031 GN=IHH PE=2 SV=1	IHH	0.809574539207679	0.839157973066068	1.35126748772625	Q98938
A0A8V0ZAP5	Hemicentin 1 OS=Gallus gallus OX=9031 GN=HMCN1 PE=4 SV=1	HMCN1	0.796455352133821	0.823905433915153	1.37963921395103	A0A8V0ZAP5
A0A8V1A0B4	Tight junction protein 1 OS=Gallus gallus OX=9031 GN=TJP1 PE=1 SV=1	TJP1	0.742630371455837	0.924068182798832	1.33330144574533	A0A8V1A0B4
A0A8V0XWD4	Cathepsin O OS=Gallus gallus OX=9031 GN=CTSO PE=3 SV=1	CTSO	0.750511627906977	0.905182724252492	1.34430564784053	A0A8V0XWD4
A0A1L1RX77	Decorin OS=Gallus gallus OX=9031 GN=DCN PE=3 SV=2	DCN	0.735411695261861	0.90483577229404	1.3597525324441	A0A1L1RX77
P28687	Signal peptidase complex subunit 3 OS=Gallus gallus OX=9031 GN=SPCS3 PE=1 SV=1	SPCS3	0.726431512614601	0.894709602566144	1.37885888481926	P28687
A0A8V1A635	Armadillo like helical domain containing 1 OS=Gallus gallus OX=9031 GN=C1orf228 PE=4 SV=1	C1orf228	0.737990467141233	0.878985653982149	1.38302387887662	A0A8V1A635
A0A1D5NTR5	Teneurin transmembrane protein 2 OS=Gallus gallus OX=9031 GN=TENM2 PE=3 SV=2	TENM2	0.74552821632516	0.865362121502951	1.38910966217189	A0A1D5NTR5
A0A8V0YWM3	Apoptosis inducing factor, mitochondria associated 1 OS=Gallus gallus OX=9031 GN=AIFM1 PE=1 SV=1	AIFM1	0.8172832371682	0.804091006227407	1.37862575660439	A0A8V0YWM3
A0A8V1AAN6	Tenascin C OS=Gallus gallus OX=9031 GN=TNC PE=3 SV=1	TNC	0.785748524991152	0.803932460946425	1.41031901406242	A0A8V1AAN6
A0A8V0XL71	Ig-like domain-containing protein OS=Gallus gallus OX=9031 PE=1 SV=1	--	0.810905983997956	0.771691393710973	1.41740262229107	A0A8V0XL71
A0A8V0YMR1	Follistatin like 4 OS=Gallus gallus OX=9031 GN=FSTL4 PE=4 SV=1	FSTL4	0.794138280717504	0.777487407111865	1.42837431217063	A0A8V0YMR1
A0A1D5P201	2-phosphoxylose phosphatase 1 OS=Gallus gallus OX=9031 GN=PXYLP1 PE=3 SV=2	PXYLP1	0.773223783264277	0.824452630520541	1.40232358621518	A0A1D5P201
A0A1D5P7Y2	Tetraspanin 13 OS=Gallus gallus OX=9031 GN=TSPAN13 PE=1 SV=2	TSPAN13	0.75806337117464	0.822322194108559	1.4196144347168	A0A1D5P7Y2
A0A8V0ZXC9	Exostosin like glycosyltransferase 2 OS=Gallus gallus OX=9031 GN=EXTL2 PE=1 SV=1	EXTL2	0.750672370765417	0.846411655478647	1.40291597375594	A0A8V0ZXC9
A0A8V0Z0B9	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B OS=Gallus gallus OX=9031 GN=MGAT4B PE=4 SV=1	MGAT4B	0.748943072875328	0.838669070158672	1.412387856966	A0A8V0Z0B9
A0A8V0X637	Sphingomyelin phosphodiesterase 1 OS=Gallus gallus OX=9031 GN=SMPD1 PE=1 SV=1	SMPD1	0.712229208423712	0.862562807171687	1.4252079844046	A0A8V0X637
A0A8V0Y070	Metalloendopeptidase OS=Gallus gallus OX=9031 GN=TLL1 PE=4 SV=1	TLL1	0.718294960364619	0.853407859167069	1.42829718046831	A0A8V0Y070
A0A1D5PBU5	Kinesin-like protein OS=Gallus gallus OX=9031 GN=KIF2A PE=3 SV=1	KIF2A	0.731293944916387	0.823515930219208	1.44519012486441	A0A1D5PBU5
A0A8V0ZF17	Vitellogenin 3 OS=Gallus gallus OX=9031 GN=VTG3 PE=1 SV=1	VTG3	0.7163393738863	0.807370373474527	1.47629025263917	A0A8V0ZF17
A0A3Q2UGW3	Neuroligin 4, Y-linked OS=Gallus gallus OX=9031 GN=NLGN4Y PE=3 SV=1	NLGN4Y	0.678904470065688	0.899897007636547	1.42119852229776	A0A3Q2UGW3
Q05744	Cathepsin D OS=Gallus gallus OX=9031 GN=CTSD PE=1 SV=1	CTSD	0.670637985152708	0.855182850879378	1.47417916396791	Q05744
A0A8V0YTG5	WAP domain-containing protein OS=Gallus gallus OX=9031 PE=4 SV=1	--	0.769620861302764	0.774251664820573	1.45612747387666	A0A8V0YTG5
P02460	Collagen alpha-1(II) chain (Fragment) OS=Gallus gallus OX=9031 GN=COL2A1 PE=2 SV=2	COL2A1	0.76269369383069	0.776413831906449	1.46089247426286	P02460
A0A8V0YY90	C1q and TNF related 12 OS=Gallus gallus OX=9031 GN=FAM132A PE=3 SV=1	FAM132A	0.758695285875018	0.776784306904593	1.46452040722039	A0A8V0YY90
A0A1D5PDV9	Adhesion G protein-coupled receptor L2 OS=Gallus gallus OX=9031 GN=ADGRL2 PE=4 SV=1	ADGRL2	0.758316638823228	0.742940524631788	1.49874283654498	A0A1D5PDV9
A0A8V0YPB9	Selenoprotein P1 OS=Gallus gallus OX=9031 GN=SELENOP1 PE=1 SV=1	SELENOP1	0.766719659514452	0.71339554142413	1.51988479906142	A0A8V0YPB9
A0A8V0YGL6	GDNF family receptor alpha 3 OS=Gallus gallus OX=9031 GN=GFRA3 PE=3 SV=1	GFRA3	0.768298838970217	0.695049044352723	1.53665211667706	A0A8V0YGL6
A0A8V0ZJ97	RNA helicase OS=Gallus gallus OX=9031 GN=LOC121108097 PE=1 SV=1	LOC121108097	0.761261909878138	0.692885197746621	1.54585289237524	A0A8V0ZJ97
E1C2T4	Hexosyltransferase OS=Gallus gallus OX=9031 GN=CSGALNACT2 PE=3 SV=2	CSGALNACT2	0.757534062019941	0.687734324614976	1.55473161336508	E1C2T4
A0A8V0YUF6	ADAMTS like 1 OS=Gallus gallus OX=9031 GN=ADAMTSL1 PE=4 SV=1	ADAMTSL1	0.769209240316489	0.679971225125328	1.55081953455818	A0A8V0YUF6
Q5ZHQ2	Galectin-related protein OS=Gallus gallus OX=9031 GN=LGALSL PE=1 SV=1	LGALSL	0.722827992322731	0.747594911135012	1.52957709654226	Q5ZHQ2
A0A8V0ZBR8	Nidogen 2 OS=Gallus gallus OX=9031 GN=NID2 PE=1 SV=1	NID2	0.704220299011773	0.706563688377103	1.58921601261112	A0A8V0ZBR8
A0A8V1AM47	Solute carrier family 13 member 2 OS=Gallus gallus OX=9031 GN=SLC13A2 PE=3 SV=1	SLC13A2	0.706566677059755	0.781959758502424	1.51147356443782	A0A8V1AM47
A0A8V0ZG90	Vitellogenin 3 OS=Gallus gallus OX=9031 GN=VTG3 PE=1 SV=1	VTG3	0.685884522425829	0.796762594185642	1.51735288338853	A0A8V0ZG90
A0A8V0ZFL9	Secreted frizzled-related protein 5 OS=Gallus gallus OX=9031 GN=LOC395991 PE=4 SV=1	LOC395991	0.67715985361843	0.778514581732397	1.54432556464917	A0A8V0ZFL9
A0A1D5PLP1	Nascent polypeptide-associated complex alpha subunit OS=Gallus gallus OX=9031 GN=NACA PE=1 SV=1	NACA	0.673215626121863	0.77885447602885	1.54792989784929	A0A1D5PLP1
