KEGG map level_1	KEGG map level_2	Number of proteins	Related proteins
Metabolism	Metabolism of terpenoids and polyketides	5	A0A8V1AK88;A0A8V1ABW1;A0A8V0Z6I7;A0A8V0XH76;A0A8V0XE68
Metabolism	Nucleotide metabolism	19	A0A8V0ZWX9;A0A8V0ZCN7;A0A8V0YVZ8;A0A8V0XC92;A0A8V0YC57;A0A1D5PZJ5;A0A8V1AJZ1;A0A8V0XRZ6;A0A8V1A4P2;A0A8V0XY43;A0A8V0Y9V8;A0A8V0XGF5;A0A8V0ZJD3;R4GJC4;A0A8V0XTM2;A0A1D5PMN7;F1NAQ8;A0A8V0YC20;E1C1L6
Metabolism	Xenobiotics biodegradation and metabolism	14	A0A8V1AHJ8;A0A8V1AI83;A0A1D5PMN7;F1NAQ8;A0A8V0ZCN7;A0A8V0Y9F8;A0A8V0XGF5;A0A8V0YGN2;A0A8V1AJ29;A0A8V0ZJE0;A0A1D5NT70;A0A8V1A0C2;A0A8V0X7B2;A0A8V0XB81
Organismal Systems	Aging	21	F1NZ86;A0A8V0YGN2;A0A1L1RWI9;A0A1D5P6T3;A0A8V1AHJ8;A0A8V1AI83;Q5ZLQ6;A0A8V0ZJE0;A0A1D5NT70;A0A8V0XY43;A0A8V0XB81;Q5ZL72;A0A8V0XK63;A0A8V0XLB9;A0A3Q3ACS4;A0A8V0XKF3;A0A1D5PAM4;A0A8V0X7B2;F1NUX4;A0A1D5PIQ5;A0A8V0Y4M2
Organismal Systems	Circulatory system	32	A0A3Q2UJ64;A0A8V0XR66;A0A3Q2U0G2;A0A8V0Z2Y8;A0A8V0YZL1;A0A8V0ZBD1;A0A8V0XYR2;A0A1D5NZL7;A0A8V0XW68;A0A8V1A640;A0A8V0Z5C6;A0A8V0ZX92;A0A8V0XY43;A0A8V0XB58;A0A1L1RLN6;A0A8V1A3B4;A0A1D5PM19;A0A8V0ZY91;A0A1L1RKB7;A0A8V0X6I3;A0A8V0XE48;A0A8V1ABC9;A0A8V0Z6B5;A0A8V0ZE99;A0A8V0ZU95;A0A8V0ZC01;A0A8V0XTC5;A0A8V0ZYC2;A0A8V0YCL9;A0A8V0X829;A0A1D5PIQ5;P18944
Organismal Systems	Development and regeneration	35	A0A8V0YSE9;A0A8V1A081;A0A1D5NW03;A0A3Q2U0G2;A0A8V0Z8U4;A0A3Q3A4U3;A0A8V0ZVX9;A0A8V0YWW2;Q90694;A0A8V0ZEJ3;A0A1L1RWI9;A0A1D5P6T3;A0A8V0ZDU4;A0A1D5NZL7;A0A8V0YFT7;E1BS97;A0A1L1RM08;Q03696;A0A8V0ZMM6;Q0PVE4;A0A8V0XB58;A0A8V0WZH6;A0A8V0Z6R7;A0A3Q3ACS4;A0A8V0XE48;A0A8V1ABC9;A0A1D5PFR3;A0A8V0ZB91;A0A3Q2TWG9;A0A8V1A9S3;A0A8V0Z857;F1NUX4;A0A1D5PIQ5;A0A8V1A8S1;A0A8V0ZZL0
Organismal Systems	Digestive system	50	P11602;A0A8V0YIB0;A0A8V0XR66;A0A8V1A1T7;A0A3Q2U0G2;A0A8V0XH76;A0A8V0Z8U4;A0A8V0XPN3;A0A8V0YXU7;A0A8V0ZHE8;A0A1D5NZL7;A0A1D5NYS2;A0A8V0ZM20;A0A8V0ZJT8;A0A8V0ZX92;A0A8V0ZF15;A0A8V0ZRU9;A0A8V0XY43;A0A1D5P8I8;A0A8V0YXE7;A0A8V0XB58;A0A8V0ZLV3;A0A8V0Y5N7;P00698;A0A8V0XR98;A0A8V0YHC1;A0A8V0ZY91;A0A1L1RKB7;A0A3Q3ACS4;A0A8V0YIC4;A0A8V0XV56;A0A8V0X354;A0A8V1A7V4;A0A8V0Y2J1;A0A8V1ABC9;A0A8V0XEL0;A0A8V0YBR3;A0A8V0Z3D0;A0A8V0YA97;A0A8V0ZMD5;P02789;A0A8V0ZE99;A0A8V1AHP7;A0A8V0ZN94;A0A1D5PPU2;A0A8V0X6S4;A0A8V0XTC5;A0A8V0YLT1;A0A8V0XE68;A0A8V0ZQV5
Organismal Systems	Endocrine system	75	A0A8V0XD22;P11602;A0A8V0Z6E4;A0A8V0ZI29;A0A1D5PEH3;A0A3Q2U0G2;A0A8V0XKR3;Q90694;A0A8V0XYR2;A0A8V0XMJ6;A0A8V0ZPV0;A0A8V0XHN0;A0A1L1RWI9;A0A1D5P6T3;A0A1D5PD64;A0A1D5NZL7;A0A8V0YFT7;A0A8V0YC57;Q5ZLN1;A0A8V0ZM20;A0A8V1A640;A0A8V0Z5C6;A0A1D5P1U2;A0A8V0ZL04;A0A8V0ZX92;A0A1D5NW68;A0A8V0XY43;Q90611;A0A8V0ZK24;A0A1D5PTW3;A0A8V0Y4Q2;Q04619;A0A8V0XB58;A0A8V0ZAL2;A0A1L1RLN6;A0A1L1RWR0;A0A8V1A178;A0A8V0Y4G2;E1BTT8;A0A8V0YDG8;A0A8V1A4H0;R4GKD1;A0A8V0WZH6;A0A1L1RKB7;A0A8V0XK63;A0A3Q3ACS4;Q90593;E1BSN7;A0A8V0X354;A0A8V0XE48;A0A8V0Y2J1;A0A3Q2U9P1;A0A8V0Z1Z1;A0A8V1ABC9;A0A8V1ACT0;A0A8V0X5E1;A0A8V0ZVD2;A0A8V0ZQ00;A0A8V0XJ14;A0A1D5NYE8;A0A8V0Y4M6;A0A8V0Y644;A0A8V1AHP7;A0A8V0XP02;A0A8V0Z0I1;O93256;A0A8V1AB67;A0A8V0YPP2;A0A8V0XRQ6;A0A8V0XTC5;A0A8V1AJV5;A0A8V1A8T0;F1NUX4;A0A1D5PIQ5;A0A8V1A8S1
Organismal Systems	Environmental adaptation	58	A0A1D5PNM0;A0A3Q2UJ64;A0A8V0ZRZ8;A0A8V1AA37;A0A3Q2U0G2;A0A8V1AEY5;A0A8V0Z2Y8;A0A8V0YZL1;A0A8V0ZPD6;A0A1D5PIF0;E1C658;A0A8V0YJI7;A0A8V0XMJ6;A0A1D5PD64;A0A1D5NZL7;A0A8V0XW68;A0A8V0XCD2;A0A1D5PIQ5;R4GGZ2;A0A8V0X535;A0A8V1A4N7;A0A1D5P179;A0A8V0YC52;A0A8V0Z863;A0A8V0ZVA2;A0A8V0XY43;A0A8V1AH40;F1NIL3;A0A1D5NW93;A0A8V0Y9V7;A0A1D5P4B1;A0A8V0XB58;A0A8V0ZAL2;A0A8V0Y6X8;A0A8V1A3B4;A0A8V1A624;R4GKD1;A0A8V0Z7C7;A0A8V0YFF3;A0A8V0Y9X9;A0A8V0X6I3;A0A8V0X354;A0A8V0YMA2;A0A8V1ABC9;A0A8V0Z1Z1;A0A8V0Z382;A0A8V0Z6B5;A0A8V0Y644;A0A8V0ZU95;A0A8V0ZC01;Q9YH14;A0A1D5P0U8;A0A8V0YCL9;F1NUX4;A0A1D5PN54;P18944;A0A8V0ZI98;A0A1D5PI06
Organismal Systems	Excretory system	32	A0A8V0ZDX0;A0A1D5PCU0;A0A8V0Z6U6;A0A3Q2U0G2;A0A8V0YRF1;A0A8V0ZZU2;A0A1D5P6T3;A0A1D5NZL7;A0A8V1AKN8;A0A8V0ZVE0;A0A1D5NYS2;A0A8V0YXB1;A0A8V0ZX92;A0A8V0ZZU1;A0A8V1AJR8;A0A3Q3ACS4;A0A1D5PL88;A0A8V1ABC9;A0A8V0Z9Y8;A0A8V1ABS2;A0A1D5NT61;F1NBW2;A0A8V1AB68;A0A8V1AK12;A0A8V0XTC5;A0A8V0XK27;A0A1D5PFB8;A0A8V0YLT1;A0A8V0Y6Z6;Q5ZIP7;Q5ZHL0;A0A8V0ZJ84
Organismal Systems	Immune system	111	A0A8V0Y8Q2;A0A3Q2U0G2;P15120;A0A8V0ZFJ4;A0A8V0XPN3;A0A8V0ZEJ3;P84229;A0A8V0XEJ5;A0A8V1ABC8;Q5ZMV5;E1BS97;A0A3Q3A7M3;A0A3Q2U0S7;Q90611;A0A8V0YUW8;A0A8V0ZMM6;A0A8V1A3U0;A0A1D5PNL3;A0A8V0XW00;A0A8V0XE48;A0A8V0Y2J1;A0A8V0X8Q3;A0A8V0Y699;A0A1D5NWP2;A0A8V0XA34;A0A8V0X8D5;A0A8V0XH43;A0A1D5NYE8;A0A8V1A9R2;Q5ZLG7;A0A8V0X8J3;A0A8V0XKE8;A0A8V0X8L8;A0A8V0XMI5;A0A8V0YCY1;A0A8V0YXU7;A0A1D5PPF8;A0A8V0XWR2;A0A8V1A640;A0A8V1AKH4;A0A8V0X8U3;A0A8V0YIZ9;A0A8V0ZZZ5;A0A8V1ADN6;A0A8V1AA32;A0A3Q2U1A5;A0A8V0Y4G2;A0A8V1ACN6;R4GKD1;A0A8V0ZHP3;A0A3Q3ACS4;A0A8V0YSF6;A0A8V1ABC9;A0A8V0ZKI9;A0A8V0XP02;A0A8V0XKX6;A0A8V0Z0I1;A0A8V0YUC6;P62801;A0A8V0XTR4;A0A1D5PIQ5;A0A8V1A8S1;A0A1D5PZV7;A0A8V0Z8U4;A0A8V0ZD41;A0A8V0ZVX9;Q90694;A0A1D5PLZ2;A0A8V0XYK6;A0A8V0ZHE8;A0A1D5NZL7;A0A8V0ZQT9;A0A8V0YFT7;A0A8V0ZSG8;A0A8V1ACZ0;E1C733;A0A8V0Z5C6;A0A8V0ZZC5;A0A1L1RM08;A0A8V1A987;A0A8V0WZH6;A0A8V0YU75;A0A8V0YS27;A0A8V0YI20;A0A1D5NYK7;A0A8V0YFD4;A0A8V0YNC4;A0A3Q2UHM4;A0A8V0Y4R7;A0A3Q2UH76;A0A8V0Z0M2;A0A8V0ZTS7;A0A1D5PD64;E1C9E0;A0A8V1A8N2;A0A8V1A370;A0A8V0X852;A0A1D5P1F1;A0A8V0XY43;A0A8V1AJ90;Q04619;A0A8V0Y5A6;Q90593;A0A8V0YID0;A0A8V1AJ29;P53488;P14448;A0A8V0YIX8;F1NUX4;A0A8V1A1T7;A0A8V0YHS1
Organismal Systems	Nervous system	53	A0A1D5PCU0;A0A1D5PNM0;A0A8V0ZRZ8;A0A8V0Z6U6;A0A8V1AA37;A0A3Q2U0G2;A0A8V0Z8U4;A0A8V1AEY5;E1BS74;A0A8V0ZZU2;A0A8V0ZPD6;A0A8V0ZBD1;Q90694;A0A8V0ZTS7;A0A1L1RWI9;A0A1D5NZL7;A0A8V0XCD2;A0A8V0X535;A0A8V1A640;A0A8V0Z5C6;A0A1D5P179;A0A8V0YC52;A0A8V0Z863;A0A8V0ZVA2;A0A8V0XY43;A0A8V1AH40;A0A8V0Y9V7;A0A1D5P4B1;A0A8V0XB58;A0A8V0Y6X8;A0A8V1AJR8;R4GKD1;A0A8V0ZY91;A0A8V0Z7C7;A0A3Q3ACS4;A0A8V0YFF3;A0A8V0X354;A0A1D5PL88;A0A8V1ABC9;A0A8V0Z382;A0A1D5NV75;A0A8V1ABS2;A0A8V0Y644;F1NBW2;A0A1D5PHU2;A0A8V1AB67;A0A8V1AK12;A0A8V0Y6Z6;A0A8V0Z9Y8;Q5ZHL0;A0A1D5PIQ5;R4GGZ2;A0A1D5PI06
Organismal Systems	Sensory system	13	A0A8V0ZTS7;A0A1D5PD64;A0A8V0YNC4;A0A1D5NZL7;A0A8V0XB58;A0A3Q2U0G2;E1BS74;A0A3Q3ACS4;A0A8V1A640;A0A8V0Z5C6;A0A8V1ABC9;A0A1D5PIQ5;A0A8V0XY43
