KEGG map level_1	KEGG map level_2	Number of proteins	Related proteins
Genetic Information Processing	Translation	67	A0A8V0YD10;A0A8V1A6A3;A0A8V0XXX0;A0A8V0YZ41;A0A8V0XBW1;Q5ZHZ0;A0A8V0XJK4;A0A8V0ZBD1;Q6ITC7;A0A8V1A7D7;A0A8V0Z4J0;P32429;A0A8V0ZWY9;A0A8V0YV66;A0A1D5P1W7;F1NN16;A0A8V1A9M2;A0A1D5P3B1;A0A8V0Z3U7;H9L2N7;A0A8V1AH32;A0A8V0Y121;A0A8V0XKJ6;A0A8V1A8R2;A0A3Q2TSP8;A0A8V1A640;A0A8V0Z5C6;F1NH93;A0A8V0Z083;A0A8V1AAU9;A0A1D5PNG3;A0A8V0YH08;E1C2Z5;A0A8V0ZJP1;A0A8V0Y4V6;A0A8V0XRE7;A0A8V1AAB0;A0A1D5NYF8;A0A8V0Z891;A0A8V0YR80;A0A8V0XPN5;A0A3Q2TV39;A0A8V0Y9Y9;A0A8V0ZF10;A0A8V0ZQK2;F1NQG5;P84175;A0A8V0ZGP2;A0A1D5NVI1;A0A1L1S0X5;A0A8V0Z1Z1;A0A1L1RX26;A0A8V0ZL98;A0A1D5PMT8;A0A8V0YG12;Q98TH5;A0A8V0XP09;A0A8V0YBU5;A0A3Q3A7P6;P50890;A0A8V0YQC4;A0A8V1A7Y9;P41125;R4GGJ0;A0A8V0ZUX8;A0A1D5PR40;F1NPA9
Metabolism	Amino acid metabolism	35	A0A1D5PL38;A0A8V0Y9E4;A0A8V0YB71;A0A8V0X3M7;A0A1D5PXH4;A0A8V0Y492;A0A8V0XH76;A0A8V0ZT56;A0A8V0ZT84;A0A8V0XVT5;A0A8V0X2T8;A0A8V0X9K8;Q5ZLN1;A0A1D5NY06;E1BYF1;A0A1D5PQV3;A0A8V0ZJT8;A0A8V1A1S6;Q5F3M8;A0A1D5PH80;A0A8V1ABW1;A0A1D5P692;A0A8V0YPT3;E1BTT8;A0A8V1AAF2;A0A8V0ZTF7;A0A8V0X354;A0A1D5NYK3;A0A8V0XHY2;A0A1D5NT61;E1BVT3;Q5ZJ23;A0A8V0XIM8;A0A8V0YC20;A0A8V0XE68
Metabolism	Biosynthesis of other secondary metabolites	3	A0A8V0ZJD3;A0A8V0XTM2;A0A8V0ZM20
Metabolism	Carbohydrate metabolism	62	A0A8V0ZUI9;Q5ZLA0;A0A1D5PEH3;A0A3Q2U0G2;A0A8V0Y492;A0A1D5PXH4;A0A8V0XH76;A0A8V0ZT56;Q5F3B9;A0A1D5PIF0;P07032;A0A8V0XVT5;A0A8V0Y9B0;A0A8V0YVZ8;A0A8V0YGM0;A0A8V0X9K8;A0A8V0XHN0;A0A8V0ZVS5;A0A1D5NZL7;Q5ZMH8;A0A8V0YA67;Q5ZLN1;A0A1D5PQV0;A0A8V0ZM20;A0A1D5PQV3;A0A1D5P1U2;A0A8V0ZYM1;A0A8V0ZPJ9;A0A8V1A4P2;A0A8V0ZRW5;Q5F3M8;A0A8V0Z3S8;A0A8V0YKA1;A0A1D5PD70;A0A8V0ZWH3;A0A8V1ABW1;A0A8V0ZLV3;A0A8V0YU17;A0A8V0YFC7;A0A1D5P8I7;E1BTT8;A0A8V0YZ27;A0A8V0YZJ3;E1BSN7;A0A8V1ALI6;A0A8V0Z832;A0A8V0YXI7;A0A8V0XHY2;A0A8V0YHD4;A0A1L1RZK1;A0A1L1RQ91;A0A8V1AAP7;A0A8V0XMD4;E1BVT3;A0A1D5PC23;A0A8V0YJV4;A0A8V0ZAK3;A0A8V0XIM8;A0A8V0YBE2;A0A8V0XE68;A0A8V1ACH5;A0A8V0XUH8
Metabolism	Energy metabolism	57	A0A1D5PCU0;A0A1D5PNM0;A0A3Q2UJ64;A0A8V0ZRZ8;A0A8V0Z6U6;A0A8V1AA37;A0A8V1AEY5;A0A8V0ZPD6;A0A8V0Z2Y8;A0A8V0YZL1;A0A1D5PIF0;E1C658;A0A8V0ZUQ1;A0A8V1A997;R4GGZ2;A0A8V0XW68;A0A8V0XCD2;A0A8V0ZE88;A0A8V1AKN8;A0A8V0X535;A0A8V1A4N7;A0A1D5P179;A0A8V0YC52;A0A8V0Z863;A0A8V0ZVA2;A0A8V1AH40;F1NIL3;A0A1D5NW93;A0A8V0Y9V7;A0A1D5P4B1;A0A8V1A3B4;A0A8V0Y6X8;A0A8V0YPT3;A0A8V1A624;A0A8V0Z7C7;A0A8V0YFF3;A0A8V0Y9X9;A0A8V0X6I3;A0A8V0Z382;A0A8V0Z6B5;A0A8V0ZJD3;A0A8V0ZU95;A0A1D5NT61;F1NBW2;A0A8V0ZC01;Q9YH14;A0A8V0XTM2;A0A8V1AK12;A0A1D5P0U8;A0A8V0YLT1;A0A8V0Y6Z6;A0A8V0YCL9;Q5ZHL0;A0A1D5PN54;P18944;A0A8V0ZI98;A0A1D5PI06
Metabolism	Global and overview maps	219	A0A8V0ZWX9;A0A8V0Y9E4;A0A8V0ZRZ8;Q5ZLA0;A0A3Q2U0G2;A0A8V0ZCN7;A0A8V0Z2Y8;A0A8V0YGN2;A0A8V0ZT56;A0A8V0ZT84;A0A8V1AEY5;A0A8V0ZPD6;P07032;A0A8V0YVZ8;A0A8V0ZUQ1;A0A8V1A997;A0A8V0X9K8;A0A1D5PZJ5;A0A8V1AI83;A0A8V1AKN8;Q5ZLN1;A0A8V0X2C5;A0A1D5P1U2;A0A8V1A4P2;A0A8V0ZJE0;A0A1D5P179;A0A8V0ZRW5;A0A8V0XB81;A0A1D5PD70;Q8QFM7;A0A8V0Y9V7;A0A8V1ABW1;A0A8V0Y6X8;A0A8V0XM46;A0A8V0Y006;A0A8V0Z832;A0A8V0YXI7;A0A8V0Z382;Q92182;A0A8V0ZJD3;A0A8V0XX21;A0A8V0XAV4;A0A8V0ZAK3;Q5ZJ23;A0A8V0ZAD5;A0A8V0YI46;F1NAQ8;E1C1L6;A0A8V0ZZL0;A0A8V0XUH8;A0A1D5PCU0;A0A8V0XR66;A0A8V0XDL7;A0A8V0YGM0;A0A8V0XVT5;A0A1D5PIF0;A0A8V0X2T8;A0A8V0ZI24;A0A8V1A0C2;A0A8V0XHN0;A0A8V0YU69;A0A8V0ZVS5;A0A8V0XW68;A0A8V1AJZ1;A0A1D5NY06;A0A8V0ZM20;E1BYF1;A0A8V0Y9J8;A0A8V0ZJT8;A0A8V1A1S6;A0A8V0Z863;A0A8V0ZVA2;Q5F3M8;A0A8V0ZWC9;A0A1D5NW93;A0A8V0ZWH3;A0A8V1AK88;A0A8V0ZYJ9;A0A1D5PJE0;A0A1D5P8I7;A0A8V0Y9V8;A0A8V0YZ27;A0A8V0YZJ3;A0A8V0Z7C7;A0A8V0XGF5;A0A8V0X354;A0A8V0X7B2;A0A8V1AAP7;A0A8V0Y4M6;R4GJC4;A0A8V0Z0I1;A0A8V0YPP2;A0A8V0YJV4;A0A8V1ACQ8;A0A8V1AK12;A0A8V0YBE2;A0A8V0YC20;A0A8V0YLT1;Q5ZHL0;A0A8V1A0M8;P18944;A0A8V0YB71;A0A8V0XE68;A0A8V0XMD4;A0A1D5PL38;A0A8V0ZUI9;A0A8V0Z6U6;A0A1D5PEH3;A0A8V0Y492;A0A8V0ZYM1;A0A8V0YZL1;A0A8V0YE66;Q5F3B9;A0A8V0Y9B0;A0A8V0Y8L6;A0A8V0XC92;A0A8V0XMJ6;A0A8V0YC57;A0A8V1AHJ8;A0A1D5NZL7;A0A8V0Z2Q6;A0A8V0XCD2;A0A8V0YA67;F1NB63;Q5ZMH8;A0A8V0X535;A0A8V0YKG1;A0A8V0ZPJ9;A0A8V0YC52;A0A8V1AH40;F1NIL3;A0A8V0Y6Q3;A0A1D5PTW3;A0A8V0YKA1;A0A8V0Z3S8;A0A1D5PH80;A0A8V1A3B4;A0A8V0ZLV3;A0A8V1ADF1;A0A8V0YU17;A0A8V0XWZ8;A0A8V0YFF3;E1BSN7;A0A8V0Y9X9;A0A8V1ALI6;A0A1D5NYK3;A0A8V0Z6B5;A0A8V0ZE99;Q5ZLA7;A0A8V0ZU95;A0A8V0ZC01;E1BVT3;Q9YH14;A0A1D5PC23;A0A8V0Y6W2;A0A1D5P0U8;A0A8V0ZHZ7;A0A1D5PN54;A0A8V0XNP4;R4GGZ2;A0A8V0ZI98;A0A1D5PI06;A0A1D5PNM0;A0A3Q2UJ64;A0A1D5NWL9;A0A8V1AA37;A0A8V0X3M7;A0A1D5PXH4;A0A8V0XH76;A0A8V1ACH5;A0A8V0ZR84;E1C658;A0A1D5NW85;A0A8V0ZIZ5;A0A8V1AB74;A0A8V1A8C9;A0A8V0XRZ6;A0A8V1A4N7;A0A1D5PQV0;A0A1D5PQV3;A0A8V0Z1C5;A0A8V0XT35;A0A8V0ZYN6;A0A8V0YKJ3;A0A1D5NT70;A0A8V0XY43;A0A1D5P1F1;A0A8V0YS46;A0A1D5P4B1;A0A8V0ZAL2;A0A8V0Y5N7;A0A8V0YFC7;A0A8V1A624;E1BTT8;A0A8V1A2F4;A0A8V1AAF2;A0A1D5P692;A0A8V0YPT3;A0A8V0ZF10;A0A8V0ZTF7;A0A8V0Z420;A0A8V0X6I3;A0A8V0Y218;A0A8V0XHY2;A0A3Q2U7H6;A0A1L1RZK1;A0A1L1RQ91;A0A1D5NT61;F1NBW2;A0A8V0XTM2;A0A1D5PMN7;A0A3Q2TVY6;A0A8V0XIM8;A0A8V0Y6Z6;A0A8V0YCL9;A0A8V1A758;A0A3Q2TSP8;A0A8V1A102;A0A8V0ZJ84
Metabolism	Glycan biosynthesis and metabolism	34	A0A8V1A758;A0A8V0XDL7;A0A8V0XMA2;A0A8V0ZR84;A0A8V0YE66;A0A8V0Y8L6;A0A8V0ZI24;E1BS94;F1NB63;A0A8V0Z2Q6;A0A8V1A8C9;A0A8V0YKG1;A0A8V0Y9J8;A0A8V0X2C5;A0A8V0XT35;A0A8V0ZYN6;A0A8V0ZWC9;A0A8V0YS46;A0A1D5PJE0;A0A8V1ADF1;A0A8V0YYY4;A0A8V1A2F4;A0A8V0YZJ3;A0A8V0Y218;Q92182;Q5ZLA7;O12971;A0A8V1ACQ8;A0A8V0ZAD5;A0A8V0YI46;A0A3Q2TVY6;A0A8V0Y6W2;A0A8V0ZHZ7;Q76KB2
Metabolism	Lipid metabolism	44	P11602;A0A8V0Y9E4;A0A1D5NWL9;A0A8V0X3M7;A0A8V0XR66;A0A8V0XH76;A0A8V0Y492;A0A8V0ZT56;A0A8V0Y8S2;A0A8V0XMJ6;A0A1D5NW85;A0A8V0YYX3;A0A8V0X9K8;A0A8V0ZSC5;A0A8V0ZJ84;A0A8V0Z1C5;A0A8V0YKJ3;A0A1D5P1F1;A0A8V0Y6Q3;A0A1D5PTW3;A0A8V0YKA1;Q8QFM7;A0A8V1ABW1;A0A8V0ZAL2;A0A8V0ZYJ9;F1NCA2;A0A8V0XWZ8;A0A8V0YZJ3;A0A8V0Z420;A0A8V0XE68;A0A8V0Y006;A0A1D5NYK3;A0A3Q2U7H6;A0A1D5P263;A0A8V1AAP7;A0A8V0Y4M6;A0A8V0ZE99;A0A8V0YPP2;A0A8V0YJV4;A0A3Q2TVY6;A0A8V0XIM8;A0A8V1A0M8;A0A8V0YB71;A0A8V0ZZL0
Metabolism	Metabolism of cofactors and vitamins	12	A0A8V0YKA1;A0A8V1AB74;A0A8V1ABW1;A0A8V1AJZ1;A0A8V0XRZ6;A0A8V0Y5N7;A0A8V0YJV4;A0A1D5PMN7;A0A8V0XM46;A0A3Q2TSP8;A0A8V0XNP4;A0A8V0XC92
Metabolism	Metabolism of other amino acids	29	A0A8V0Y492;A0A8V0ZT56;A0A8V0YGN2;A0A8V0ZT84;A0A8V0XVT5;A0A8V1A0C2;A0A8V0ZIZ5;A0A8V0X9K8;A0A8V0YU69;A0A8V1AHJ8;A0A8V1AI83;A0A8V0ZHY3;A0A1D5NY06;E1BYF1;A0A8V0ZPJ9;A0A8V0ZJE0;A0A1D5NT70;A0A8V0XB81;A0A8V1ABW1;A0A1D5P8I7;A0A8V0YZ27;A0A8V0X7B2;A0A8V0ZJD3;A0A8V0XX21;A0A8V0Z0I1;A0A8V0YPP2;A0A8V0XTM2;A0A1D5PMN7;A0A8V1A0M8
