KEGG map level_1	KEGG map level_2	Number of proteins	Related proteins
Metabolism	Energy metabolism	10	A0A1D5PCU0;A0A8V0Z6U6;A0A8V1AKN8;A0A8V0YPT3;A0A8V0YLT1;A0A8V0Y6Z6;Q5ZHL0;A0A8V0ZE88;A0A8V0ZUQ1;A0A8V1A997
Metabolism	Global and overview maps	85	A0A8V0ZWX9;A0A8V0Y9E4;Q5ZLA0;A0A3Q2U0G2;P07032;A0A8V0ZUQ1;A0A8V1A997;A0A8V1AI83;A0A8V1AKN8;A0A8V0X2C5;A0A8V1A4P2;A0A8V0ZJE0;A0A8V0XB81;Q8QFM7;A0A8V0Y006;A0A8V0Z832;A0A8V0ZAD5;A0A8V0YI46;E1C1L6;A0A8V0ZZL0;A0A8V0XUH8;A0A1D5PCU0;A0A8V0XR66;A0A8V0XDL7;A0A8V1AJZ1;E1BYF1;A0A8V0Y9J8;A0A8V0ZWC9;A0A8V1AK88;A0A1D5PJE0;A0A8V0YZ27;A0A8V0XGF5;A0A8V0X7B2;A0A8V1AAP7;R4GJC4;A0A8V0YPP2;A0A8V0YJV4;A0A8V1ACQ8;A0A8V0YLT1;A0A8V1A0M8;A0A8V0XMD4;A0A8V0Z6U6;A0A8V0ZYM1;A0A8V0YE66;A0A8V0Y8L6;A0A8V0XC92;A0A8V0YC57;A0A8V1AHJ8;A0A1D5NZL7;A0A8V0Z2Q6;F1NB63;A0A8V0YKG1;A0A8V0ZPJ9;A0A8V0Y6Q3;A0A8V0YKA1;A0A1D5PH80;A0A8V0ZLV3;A0A8V1ADF1;A0A8V0XWZ8;A0A8V0ZE99;A0A8V0Y6W2;A0A8V0XH76;A0A8V0ZR84;A0A8V0ZIZ5;A0A1D5NW85;A0A8V0XRZ6;A0A1D5PQV0;A0A8V0Z1C5;A0A8V0XT35;A0A8V0ZYN6;A0A8V0YKJ3;A0A1D5NT70;A0A8V0XY43;A0A1D5P1F1;A0A8V0YS46;A0A8V0Y5N7;A0A8V0YFC7;A0A8V0YPT3;A0A8V1A2F4;A0A8V0Y218;A0A1L1RQ91;A0A3Q2TVY6;A0A8V0Y6Z6;A0A8V1A758;Q5ZHL0
Metabolism	Glycan biosynthesis and metabolism	27	A0A8V0XDL7;A0A8V0XMA2;A0A8V0YE66;A0A8V0ZR84;A0A8V0Y8L6;E1BS94;F1NB63;A0A8V0Z2Q6;A0A8V0YKG1;A0A8V0Y9J8;A0A8V0X2C5;A0A8V0XT35;A0A8V0ZYN6;A0A8V0ZWC9;A0A8V0YS46;A0A1D5PJE0;A0A8V1ADF1;A0A8V1A2F4;A0A8V0Y218;O12971;A0A8V1ACQ8;A0A8V0ZAD5;A0A8V0YI46;A0A3Q2TVY6;A0A8V0Y6W2;A0A8V1A758;Q76KB2
Metabolism	Lipid metabolism	20	P11602;A0A8V0Y9E4;A0A8V0XR66;A0A8V0XH76;A0A1D5NW85;A0A8V0Z1C5;A0A8V0YKJ3;A0A1D5P1F1;A0A8V0Y6Q3;A0A8V0YKA1;Q8QFM7;A0A8V0XWZ8;A0A8V0Y006;A0A8V1AAP7;A0A8V0ZE99;A0A8V0YPP2;A0A8V0YJV4;A0A3Q2TVY6;A0A8V1A0M8;A0A8V0ZZL0
Metabolism	Metabolism of cofactors and vitamins	6	A0A8V0YKA1;A0A8V1AJZ1;A0A8V0XRZ6;A0A8V0Y5N7;A0A8V0YJV4;A0A8V0XC92
Metabolism	Metabolism of other amino acids	12	A0A8V1AHJ8;A0A8V1AI83;A0A8V1A0M8;A0A8V0YZ27;A0A8V0YPP2;E1BYF1;A0A8V0ZPJ9;A0A8V0ZJE0;A0A1D5NT70;A0A8V0X7B2;A0A8V0XB81;A0A8V0ZIZ5
Metabolism	Metabolism of terpenoids and polyketides	2	A0A8V1AK88;A0A8V0XH76
Metabolism	Nucleotide metabolism	10	A0A8V0ZWX9;R4GJC4;A0A8V1AJZ1;A0A8V0XRZ6;A0A8V0XC92;A0A8V0XGF5;A0A8V1A4P2;E1C1L6;A0A8V0XY43;A0A8V0YC57
Metabolism	Xenobiotics biodegradation and metabolism	8	A0A8V1AHJ8;A0A8V1AI83;A0A8V0Y9F8;A0A8V0XGF5;A0A8V0ZJE0;A0A1D5NT70;A0A8V0X7B2;A0A8V0XB81
Organismal Systems	Aging	11	A0A1L1RWI9;A0A8V1AHJ8;A0A8V1AI83;A0A8V0XLB9;A0A3Q3ACS4;A0A8V0ZJE0;F1NUX4;A0A1D5NT70;A0A8V0XY43;A0A8V0XB81;A0A8V0X7B2
Organismal Systems	Circulatory system	10	A0A1D5NZL7;A0A8V0ZE99;A0A8V0XB58;A0A8V0XR66;A0A3Q2U0G2;A0A8V0ZY91;A0A8V0ZBD1;A0A8V1ABC9;A0A8V0XY43;A0A8V0XYR2
Organismal Systems	Development and regeneration	26	A0A8V0YSE9;F1NUX4;A0A8V1A081;A0A1D5NW03;A0A3Q2U0G2;A0A8V0Z8U4;A0A3Q3A4U3;A0A8V0ZVX9;A0A8V0YWW2;Q90694;A0A8V0ZEJ3;A0A1L1RWI9;A0A8V0ZDU4;A0A1D5NZL7;Q03696;A0A8V0ZMM6;Q0PVE4;A0A8V0XB58;A0A3Q3ACS4;A0A8V1ABC9;A0A1D5PFR3;A0A8V0ZB91;A0A3Q2TWG9;A0A8V0Z857;A0A8V1A9S3;A0A8V0ZZL0
Organismal Systems	Digestive system	27	P11602;A0A8V0XR66;A0A8V0XH76;A0A8V0Z8U4;A0A3Q2U0G2;A0A8V0XPN3;A0A1D5NZL7;A0A8V0ZRU9;A0A8V0ZF15;A0A8V0XY43;A0A8V0XB58;A0A8V0ZLV3;A0A8V0Y5N7;P00698;A0A8V0XR98;A0A8V0YHC1;A0A8V0ZY91;A0A3Q3ACS4;A0A8V0Y2J1;A0A8V1ABC9;A0A8V0ZMD5;A0A8V0YA97;P02789;A0A8V0ZE99;A0A8V0ZN94;A0A8V0YLT1;A0A8V1A1T7
Organismal Systems	Endocrine system	30	A0A8V0XD22;P11602;A0A8V0ZI29;A0A3Q2U0G2;A0A8V0XKR3;Q90694;A0A8V0XYR2;A0A8V0ZPV0;A0A8V0YC57;A0A1L1RWI9;A0A1D5NZL7;A0A8V0XY43;Q90611;A0A8V0Y4Q2;Q04619;A0A8V0XB58;A0A8V1A178;A0A8V0YDG8;R4GKD1;A0A3Q3ACS4;Q90593;A0A8V0Y2J1;A0A8V1ABC9;A0A8V0Y644;A0A8V0XP02;A0A8V1AB67;A0A8V0YPP2;A0A8V0XRQ6;A0A8V1AJV5;F1NUX4
Organismal Systems	Environmental adaptation	10	A0A8V0Y644;A0A1D5NZL7;A0A8V0XB58;A0A8V0XY43;R4GKD1;A0A3Q2U0G2;A0A8V0YMA2;A0A8V1ABC9;F1NUX4;A0A8V0YJI7
Organismal Systems	Excretory system	17	A0A8V0ZDX0;A0A1D5PCU0;A0A1D5NZL7;A0A8V0ZZU1;A0A8V0Z6U6;A0A8V1AB68;A0A8V1AKN8;A0A8V0YXB1;A0A3Q2U0G2;A0A3Q3ACS4;A0A8V0XK27;A0A8V0YLT1;A0A8V0Y6Z6;A0A8V1ABC9;Q5ZIP7;Q5ZHL0;A0A8V0Z9Y8
Organismal Systems	Immune system	52	A0A1D5PZV7;A0A8V0Y4R7;A0A3Q2U0G2;A0A8V0Z8U4;A0A3Q2UH76;A0A8V0ZVX9;A0A8V0ZFJ4;A0A8V0XPN3;Q90694;A0A8V0ZEJ3;A0A8V0ZTS7;A0A1D5NZL7;A0A8V0ZQT9;E1C9E0;A0A8V0ZSG8;A0A8V1ACZ0;A0A8V0XEJ5;A0A8V1ABC8;A0A8V1AKH4;A0A3Q3A7M3;A0A8V0X852;A0A8V0X8U3;A0A1D5P1F1;A0A8V0XY43;Q90611;A0A8V0YUW8;A0A8V1AJ90;Q04619;A0A8V0ZMM6;A0A8V1ADN6;A0A8V1AA32;A0A8V1A987;A0A8V1ACN6;A0A1D5PNL3;R4GKD1;A0A8V0ZHP3;A0A3Q3ACS4;Q90593;A0A8V0YID0;A0A8V0Y2J1;A0A8V1ABC9;A0A1D5NWP2;A0A8V0YU75;A0A8V0XA34;A0A8V0X8D5;A0A8V0XP02;A0A8V0XKX6;A0A8V1A9R2;A0A1D5NYK7;F1NUX4;A0A8V1A1T7;A0A8V0YFD4
Organismal Systems	Nervous system	22	A0A1D5PCU0;A0A8V0Z6U6;A0A8V0Z8U4;A0A3Q2U0G2;E1BS74;A0A8V0ZBD1;Q90694;A0A8V0ZTS7;A0A1L1RWI9;A0A1D5NZL7;A0A8V0XY43;A0A8V0XB58;R4GKD1;A0A8V0ZY91;A0A3Q3ACS4;A0A8V1ABC9;A0A8V0Y644;A0A1D5PHU2;A0A8V1AB67;A0A8V0Y6Z6;A0A8V0Z9Y8;Q5ZHL0
Organismal Systems	Sensory system	8	A0A8V0ZTS7;A0A1D5NZL7;A0A8V0XB58;A0A3Q2U0G2;E1BS74;A0A3Q3ACS4;A0A8V1ABC9;A0A8V0XY43
