COG/KOG category	Category description	Number of proteins
INFORMATION STORAGE AND PROCESSING	[A] RNA processing and modification	31
INFORMATION STORAGE AND PROCESSING	[B] Chromatin structure and dynamics	6
METABOLISM	[C] Energy production and conversion	82
CELLULAR PROCESSES AND SIGNALING	[D] Cell cycle control, cell division, chromosome partitioning	21
METABOLISM	[E] Amino acid transport and metabolism	38
METABOLISM	[F] Nucleotide transport and metabolism	23
METABOLISM	[G] Carbohydrate transport and metabolism	38
METABOLISM	[H] Coenzyme transport and metabolism	7
METABOLISM	[I] Lipid transport and metabolism	44
INFORMATION STORAGE AND PROCESSING	[J] Translation, ribosomal structure and biogenesis	78
INFORMATION STORAGE AND PROCESSING	[K] Transcription	19
INFORMATION STORAGE AND PROCESSING	[L] Replication, recombination and repair	7
CELLULAR PROCESSES AND SIGNALING	[M] Cell wall/membrane/envelope biogenesis	20
CELLULAR PROCESSES AND SIGNALING	[N] Cell motility	1
CELLULAR PROCESSES AND SIGNALING	[O] Posttranslational modification, protein turnover, chaperones	167
METABOLISM	[P] Inorganic ion transport and metabolism	23
METABOLISM	[Q] Secondary metabolites biosynthesis, transport and catabolism	8
POORLY CHARACTERIZED	[R] General function prediction only	139
POORLY CHARACTERIZED	[S] Function unknown	52
CELLULAR PROCESSES AND SIGNALING	[T] Signal transduction mechanisms	163
CELLULAR PROCESSES AND SIGNALING	[U] Intracellular trafficking, secretion, and vesicular transport	82
CELLULAR PROCESSES AND SIGNALING	[V] Defense mechanisms	37
CELLULAR PROCESSES AND SIGNALING	[W] Extracellular structures	32
CELLULAR PROCESSES AND SIGNALING	[Y] Nuclear structure	7
CELLULAR PROCESSES AND SIGNALING	[Z] Cytoskeleton	72
