KEGG map level_1	KEGG map level_2	Number of proteins	Related proteins
Cellular Processes	Cell growth and death	35	A0A8V1A9H2;A0A3Q2UHM4;A0A8V0XMI5;P09644;A0A8V0ZX20;A0A8V0YXU7;A0A8V0Z0M2;A0A8V0XMJ6;A0A1D5PD64;A0A8V0ZHE8;A0A8V1AKZ9;A0A8V0YFT7;F1NWX0;A0A1D5PIQ5;A0A8V1A370;Q5ZLQ6;A0A8V1A640;A0A8V0XAS9;A0A8V0Z5C6;P13648;A0A8V0ZAL2;A0A8V0ZCS2;A0A8V0Y4G2;A0A8V0WZH6;A0A8V0XKF3;E1BSN7;A0A8V0X8Q3;A0A8V0YY54;A0A8V0XKW4;A0A8V0YBR3;A0A1D5NT61;Q5ZLG7;A0A8V0YVH2;Q5ZIE0;A0A8V1A8S1
Cellular Processes	Cell motility	18	A0A8V0YNC4;A0A8V0ZUI9;A0A8V1A3U0;A0A8V0Y5A6;A0A1D5PM19;Q5ZMV5;A0A3Q2UGG0;P53488;E1BS97;A0A8V0ZD41;A0A8V1A640;A0A1D5PIZ8;A0A3Q2UHS2;A0A8V0XE48;A0A8V0YR59;A0A8V0Z5C6;A0A1L1RM08;A0A8V0X5B9
Cellular Processes	Cellular community - eukaryotes	34	A0A8V1A2W0;A0A8V0XDR8;A0A8V0ZD41;A0A1D5PIZ8;P09644;A0A8V0YR59;A0A8V0X5B9;A0A1D5P6T3;A0A8V0X4B2;A0A1D5PPF8;A0A8V0XKI2;F1NWX0;A0A8V0XWR2;Q5ZMV5;E1BS97;A0A8V0XCW4;A0A8V1A640;A0A8V0Z5C6;A0A1L1RM08;A0A8V1A3U0;A0A8V0Y5A6;A0A1L1RLN6;A0A1D5PM19;A0A3Q2U1A5;A0A8V0XE48;A0A8V0Y699;A0A1D5NYG3;A0A1D5NYE8;P53488;A0A8V0YW34;Q01406;A0A8V0XTR4;A0A3Q2U4B8;A0A1D5PIQ5
Cellular Processes	Transport and catabolism	52	A0A1D5PXH0;A0A1D5NWL9;A0A8V0X8Q2;P28497;A0A8V0YF91;A0A8V0X8L8;A0A8V0XEP8;A0A8V0XEA4;A0A8V0XMI5;A0A8V0YRF1;P09644;A0A8V0Y8S2;A0A8V1A0C2;P13127;A0A8V0XMJ6;A0A8V0ZYI9;A0A8V0X5B9;P14315;A0A8V0ZSC5;A0A8V0XKI2;F1NWX0;A0A8V1A370;A0A8V0ZKS5;Q5ZMV5;A0A1L1RWX8;A0A8V0Y8B8;A0A8V0ZEP8;A0A8V1A6B5;A0A8V1A3U0;F1P337;A0A8V0ZAL2;A0A8V0ZCS2;A0A1D5P8I7;A0A8V0Y4G2;A0A8V0YZJ3;A0A8V0Y8A2;Q5ZJW4;A0A8V0X354;A0A1D5PL88;A0A8V0X8Q3;A0A8V0YSF6;A0A8V1ALI6;A0A8V1AJ29;A0A8V1ABS2;A0A8V0XFZ5;F1NBW2;P53488;A0A8V1AK12;A0A8V0YIX8;A0A8V1AHP0;A0A8V0XNP4;A0A8V0Y4M2
Environmental Information Processing	Signal transduction	57	A0A8V0YNC4;A0A8V0ZUI9;A0A3Q2UHM4;A0A8V1A1U8;A0A8V1A2W0;A0A1D5PEH3;A0A8V0XDR8;A0A8V1ACH5;A0A8V0YR59;P15120;A0A8V0YXU7;A0A8V0Z0M2;A0A8V0X5B9;A0A8V0XHN0;A0A1D5P6T3;A0A1D5PD64;A0A8V0X4B2;A0A8V0YFT7;A0A8V0XKI2;A0A8V0ZHE8;A0A8V0XWR2;A0A8V0ZZC8;Q5ZLQ6;A0A8V0ZM20;E1BS97;A0A8V0XCW4;A0A8V1A640;A0A8V0Z5C6;A0A1D5P1U2;A0A8V0ZX92;A0A3Q2U1A5;A0A1D5NYF8;E1BTT8;A0A8V0WZH6;A0A8V0XK63;A0A1L1RKB7;A0A8V0XKF3;A0A8V0X5E1;A0A8V0X354;A0A8V0XE48;A0A8V0Y699;A0A8V0Z1Z1;A0A1D5NYG3;K9JA28;A0A1D5NYE8;F1NBW2;A0A8V0Y652;A0A8V0YW34;A0A8V1AK12;Q5ZLG7;A0A8V0XTC5;A0A8V0XTR4;A0A3Q2U4B8;A0A8V0YIX8;A0A8V0Z0R4;A0A1D5PIQ5;A0A8V1A8S1
Environmental Information Processing	Signaling molecules and interaction	16	A0A8V0YNC4;A0A8V0X4B2;A0A8V0XKI2;A0A8V0X8L8;A0A8V1A2W0;A0A8V0YAJ1;A0A8V0Y652;E1C733;A0A8V0XCW4;A0A8V0XDR8;A0A8V0X5E1;O42220;A0A8V0X8Q3;A0A8V0YBR3;A0A8V0Z0M2;K9JA28
Genetic Information Processing	Folding, sorting and degradation	56	A0A8V0Y2X7;A0A8V0Z3K2;F1NZ86;A0A8V0YD10;A0A8V0Z7B5;A0A8V0YQY8;A0A8V1A582;F1NC02;A0A8V1APZ6;A0A1D5NXL7;A0A8V0ZZE1;A0A8V0ZBT6;A0A8V0ZNG1;A0A8V0ZI24;A0A8V0ZEY1;A0A8V0ZH96;A0A8V0XHN0;A0A8V0ZMT8;F1NU79;Q5ZLI2;A0A8V1A8C9;A0A8V0XY82;A0A8V0XB52;A0A8V0XAS9;A0A8V0ZNX9;A0A8V1AF05;Q5ZL72;A0A8V0ZCS2;A0A1D5NYF8;A0A8V0ZRZ2;A0A8V0ZY42;A0A8V0XRD5;Q5ZJW4;A0A8V1ABH8;Q5ZKB9;A0A8V0ZE30;A0A8V0ZNG4;A0A8V0XW93;A0A3Q2UGR5;A0A8V0Y4P5;A0A1D5NTY5;Q5ZLA7;R4GLB3;A0A8V0X7N6;A0A8V0YCZ5;A0A1D5PJW4;A0A8V0ZH27;A0A1L1RZR2;A0A8V0ZRK8;A0A1L1RP66;A0A8V0ZHZ7;A0A8V0XTH6;A0A8V1A8S1;A0A8V0XGH4;Q7ZT63;F1NR71
Genetic Information Processing	Replication and repair	4	A0A8V0XMI5;A0A8V0YW57;A0A8V1A3Y9;A0A8V0ZBT6
Genetic Information Processing	Transcription	13	A0A8V0X7I3;A0A1D6UPS9;A0A1D5PXH1;A0A8V0YZ41;A0A1D5PSI3;A0A8V0XXW6;A0A8V1AFZ6;Q5ZHZ0;A0A8V0XYP5;A0A3S5ZPN3;E1C8Y9;A0A8V0YUR4;F1NAC8
Genetic Information Processing	Translation	57	A0A8V0YD10;A0A8V0XXX0;A0A8V0YZ41;A0A8V0XBW1;Q5ZHZ0;A0A8V0XJK4;A0A8V1A7D7;Q6ITC7;P32429;A0A8V0ZWY9;A0A8V0YV66;P41125;A0A1D5P1W7;F1NN16;A0A8V1A9M2;A0A1D5P3B1;A0A8V0Z3U7;H9L2N7;A0A8V1AH32;A0A8V0Y121;A0A8V1A8R2;A0A8V1A640;A0A8V0Z5C6;F1NH93;A0A8V1AAU9;A0A8V0YH08;E1C2Z5;A0A8V0ZJP1;A0A8V0Y4V6;A0A8V0XRE7;A0A8V1AAB0;A0A1D5NYF8;A0A8V0Z891;A0A8V0YR80;A0A3Q2TV39;A0A8V0Y9Y9;A0A8V0ZF10;A0A8V0ZQK2;P84175;A0A8V0ZGP2;A0A1L1S0X5;A0A8V0Z1Z1;A0A1L1RX26;A0A8V0ZL98;A0A1D5PMT8;A0A8V0YG12;A0A8V0XP09;A0A8V0YBU5;A0A3Q3A7P6;P50890;A0A8V0YQC4;A0A8V1A7Y9;A0A3Q2TSP8;R4GGJ0;A0A8V0ZUX8;A0A1D5PR40;F1NPA9
Metabolism	Amino acid metabolism	30	A0A1D5PL38;A0A8V0X3M7;A0A1D5PXH4;A0A8V0Y492;A0A8V0ZT56;A0A8V0ZT84;A0A8V0XVT5;A0A8V0X2T8;A0A8V0X9K8;Q5ZLN1;A0A1D5NY06;A0A1D5PQV3;A0A8V0ZJT8;A0A8V1A1S6;Q5F3M8;A0A8V1ABW1;A0A1D5P692;E1BTT8;A0A8V1AAF2;A0A8V0ZTF7;A0A8V0X354;A0A8V0XE68;A0A1D5NYK3;A0A8V0XHY2;A0A1D5NT61;E1BVT3;Q5ZJ23;A0A8V0XIM8;A0A8V0YC20;A0A8V0YB71
Metabolism	Biosynthesis of other secondary metabolites	3	A0A8V0ZJD3;A0A8V0XTM2;A0A8V0ZM20
Metabolism	Carbohydrate metabolism	43	A0A8V0ZUI9;A0A1D5PEH3;A0A1D5PXH4;A0A8V0Y492;A0A8V0ZT56;A0A8V1ACH5;A0A8V0YGM0;Q5F3B9;A0A1D5PIF0;A0A8V0XVT5;A0A8V0Y9B0;A0A8V0YVZ8;A0A8V0X9K8;A0A8V0XHN0;A0A8V0ZVS5;Q5ZMH8;A0A8V0YA67;Q5ZLN1;A0A8V0ZM20;A0A1D5PQV3;A0A1D5P1U2;A0A8V0ZRW5;Q5F3M8;A0A8V0Z3S8;A0A1D5PD70;A0A8V0ZWH3;A0A8V1ABW1;A0A8V0YU17;A0A1D5P8I7;E1BTT8;A0A8V0YZJ3;E1BSN7;A0A8V1ALI6;A0A8V0YXI7;A0A8V0XHY2;A0A8V0YHD4;A0A1L1RZK1;E1BVT3;A0A1D5PC23;A0A8V0ZAK3;A0A8V0XIM8;A0A8V0YBE2;A0A8V0XE68
Metabolism	Energy metabolism	47	A0A1D5PNM0;A0A3Q2UJ64;A0A8V0ZRZ8;A0A8V1AA37;A0A8V1AEY5;A0A8V0ZPD6;A0A8V0Z2Y8;A0A8V0YZL1;A0A1D5PIF0;E1C658;A0A8V0XW68;A0A8V0XCD2;A0A8V0X535;A0A8V1A4N7;A0A1D5P179;A0A8V0YC52;A0A8V1AH40;A0A8V0Z863;A0A8V0ZVA2;F1NIL3;A0A1D5NW93;A0A8V0Y9V7;A0A1D5P4B1;A0A8V1A3B4;A0A8V0Y6X8;A0A8V1A624;A0A8V0Z7C7;A0A8V0YFF3;A0A8V0Y9X9;A0A8V0X6I3;A0A8V0Z382;A0A8V0Z6B5;P18944;A0A8V0ZJD3;A0A8V0ZU95;A0A1D5NT61;F1NBW2;A0A8V0ZC01;Q9YH14;A0A8V0XTM2;A0A8V1AK12;A0A1D5P0U8;A0A8V0YCL9;A0A1D5PN54;R4GGZ2;A0A8V0ZI98;A0A1D5PI06
Metabolism	Global and overview maps	134	A0A8V0ZRZ8;A0A8V0ZCN7;A0A8V1AEY5;A0A8V0Z2Y8;A0A8V0YGN2;A0A8V0ZT56;A0A8V0ZT84;A0A8V0ZPD6;A0A8V0YVZ8;A0A8V0X9K8;A0A1D5PZJ5;Q5ZLN1;A0A1D5P1U2;A0A1D5P179;A0A8V0ZRW5;A0A1D5PD70;A0A8V0Y9V7;A0A8V1ABW1;A0A8V0Y6X8;A0A8V0XM46;A0A8V0YXI7;A0A8V0Z382;Q92182;A0A8V0ZJD3;A0A8V0XX21;A0A8V0XAV4;A0A8V0ZAK3;Q5ZJ23;F1NAQ8;A0A8V0YGM0;A0A8V0XVT5;A0A1D5PIF0;A0A8V0X2T8;A0A8V0ZI24;A0A8V1A0C2;A0A8V0XHN0;A0A8V0YU69;A0A8V0ZVS5;A0A8V0XW68;A0A1D5NY06;A0A8V0ZM20;A0A8V0ZJT8;A0A8V1A1S6;A0A8V0Z863;A0A8V0ZVA2;Q5F3M8;A0A1D5NW93;A0A8V0ZWH3;A0A8V0ZYJ9;A0A1D5P8I7;A0A8V0Y9V8;A0A8V0YZJ3;A0A8V0Z7C7;A0A8V0X354;A0A8V0Y4M6;A0A8V0Z0I1;A0A8V1AK12;A0A8V0YBE2;A0A8V0YC20;P18944;A0A8V0YB71;A0A8V0XE68;A0A1D5PL38;A0A8V0ZUI9;A0A1D5PEH3;A0A8V0Y492;A0A8V0YZL1;Q5F3B9;A0A8V0Y9B0;A0A8V0XMJ6;A0A8V0XCD2;A0A8V0YA67;Q5ZMH8;A0A8V0X535;A0A8V0YC52;A0A8V1AH40;F1NIL3;A0A8V0Z3S8;A0A1D5PTW3;A0A8V1A3B4;A0A8V0YU17;A0A8V0YFF3;E1BSN7;A0A8V0Y9X9;A0A8V1ALI6;A0A1D5NYK3;A0A8V0Z6B5;Q5ZLA7;A0A8V0ZU95;A0A8V0ZC01;E1BVT3;Q9YH14;A0A1D5PC23;A0A1D5P0U8;A0A8V0ZHZ7;A0A1D5PN54;A0A8V0XNP4;R4GGZ2;A0A8V0ZI98;A0A1D5PI06;A0A1D5PNM0;A0A3Q2UJ64;A0A1D5NWL9;A0A8V1AA37;A0A8V0X3M7;A0A1D5PXH4;A0A8V1ACH5;E1C658;A0A8V1AB74;A0A8V1A8C9;A0A8V1A4N7;A0A1D5PQV3;A0A1D5P4B1;A0A8V0ZAL2;A0A1D5P692;A0A8V1A624;E1BTT8;A0A8V1AAF2;A0A8V0ZF10;A0A8V0ZTF7;A0A8V0Z420;A0A8V0X6I3;A0A8V0XHY2;A0A3Q2U7H6;A0A1L1RZK1;A0A1D5NT61;F1NBW2;A0A8V0XTM2;A0A1D5PMN7;A0A8V0XIM8;A0A8V0YCL9;A0A3Q2TSP8;A0A8V1A102;A0A8V0ZJ84
Metabolism	Glycan biosynthesis and metabolism	7	Q92182;Q5ZLA7;A0A8V1A8C9;A0A8V0YYY4;A0A8V0YZJ3;A0A8V0ZHZ7;A0A8V0ZI24
Metabolism	Lipid metabolism	24	A0A1D5NWL9;A0A8V0X3M7;A0A8V0Y492;A0A8V0ZT56;A0A8V0Y8S2;A0A8V0YYX3;A0A8V0XMJ6;A0A8V0X9K8;A0A8V0ZSC5;A0A1D5PTW3;F1NCA2;A0A8V1ABW1;A0A8V0ZAL2;A0A8V0ZYJ9;A0A8V0YZJ3;A0A8V0Z420;A0A8V0XE68;A0A1D5NYK3;A0A3Q2U7H6;A0A1D5P263;A0A8V0Y4M6;A0A8V0XIM8;A0A8V0YB71;A0A8V0ZJ84
Metabolism	Metabolism of cofactors and vitamins	6	A0A8V1AB74;A0A8V1ABW1;A0A1D5PMN7;A0A8V0XM46;A0A3Q2TSP8;A0A8V0XNP4
Metabolism	Metabolism of other amino acids	17	A0A8V0ZJD3;A0A8V0XX21;A0A8V0YU69;A0A8V1ABW1;A0A8V0ZHY3;A0A8V0Z0I1;A0A1D5P8I7;A0A8V0XTM2;A0A1D5NY06;A0A1D5PMN7;A0A8V0Y492;A0A8V0ZT56;A0A8V0YGN2;A0A8V0ZT84;A0A8V0XVT5;A0A8V1A0C2;A0A8V0X9K8
Metabolism	Metabolism of terpenoids and polyketides	3	A0A8V0XE68;A0A8V0Z6I7;A0A8V1ABW1
Metabolism	Nucleotide metabolism	9	A0A8V0ZJD3;A0A8V0Y9V8;A0A8V0XTM2;A0A8V0ZCN7;F1NAQ8;A0A1D5PMN7;A0A8V0YC20;A0A8V0YVZ8;A0A1D5PZJ5
Metabolism	Xenobiotics biodegradation and metabolism	6	A0A1D5PMN7;F1NAQ8;A0A8V0ZCN7;A0A8V0YGN2;A0A8V1AJ29;A0A8V1A0C2
Organismal Systems	Aging	10	A0A1D5P6T3;F1NZ86;Q5ZL72;Q5ZLQ6;A0A8V0XK63;A0A8V0YGN2;A0A8V0XKF3;A0A1D5PAM4;A0A1D5PIQ5;A0A8V0Y4M2
Organismal Systems	Circulatory system	22	A0A3Q2UJ64;A0A8V0Z2Y8;A0A8V0YZL1;A0A8V0XW68;A0A8V1A640;A0A8V0Z5C6;A0A8V0ZX92;A0A8V1A3B4;A0A1L1RLN6;A0A1D5PM19;A0A1L1RKB7;A0A8V0X6I3;A0A8V0XE48;A0A8V0Z6B5;A0A8V0ZU95;A0A8V0ZC01;A0A8V0XTC5;A0A8V0ZYC2;A0A8V0YCL9;A0A8V0X829;A0A1D5PIQ5;P18944
Organismal Systems	Development and regeneration	9	A0A1D5P6T3;A0A8V0YFT7;A0A8V0WZH6;A0A8V0Z6R7;E1BS97;A0A8V0XE48;A0A1L1RM08;A0A1D5PIQ5;A0A8V1A8S1
Organismal Systems	Digestive system	23	A0A8V0YIB0;A0A8V0YXU7;A0A8V0ZHE8;A0A1D5NYS2;A0A8V0ZM20;A0A8V0ZJT8;A0A8V0ZX92;A0A1D5P8I8;A0A8V0YXE7;A0A1L1RKB7;A0A8V0YIC4;A0A8V0XV56;A0A8V0X354;A0A8V1A7V4;A0A8V0XEL0;A0A8V0Z3D0;A0A8V0YBR3;A0A8V1AHP7;A0A1D5PPU2;A0A8V0X6S4;A0A8V0XTC5;A0A8V0XE68;A0A8V0ZQV5
Organismal Systems	Endocrine system	45	A0A8V0Z6E4;A0A1D5PEH3;A0A8V0XMJ6;A0A8V0XHN0;A0A1D5P6T3;A0A1D5PD64;A0A8V0YFT7;Q5ZLN1;A0A8V0ZM20;A0A8V1A640;A0A8V0Z5C6;A0A1D5P1U2;A0A8V0ZL04;A0A8V0ZX92;A0A1D5NW68;A0A8V0ZK24;A0A1D5PTW3;A0A8V0ZAL2;A0A1L1RLN6;A0A1L1RWR0;A0A8V0Y4G2;E1BTT8;A0A8V1A4H0;A0A8V0WZH6;A0A8V0XK63;A0A1L1RKB7;E1BSN7;A0A3Q2U9P1;A0A8V0X354;A0A8V0XE48;A0A8V0X5E1;A0A8V0Z1Z1;A0A8V0ZVD2;A0A8V1ACT0;A0A8V0ZQ00;A0A8V0XJ14;A0A1D5NYE8;A0A8V0Y4M6;A0A8V1AHP7;A0A8V0Z0I1;O93256;A0A8V0XTC5;A0A8V1A8T0;A0A1D5PIQ5;A0A8V1A8S1
