KEGG pathway	Protein accession	KEGG KO No.	G2/G1 Ratio	Regulated Type
map00020 Citrate cycle (TCA cycle)	A0A1D5P8I7	K00031	1.9479296797204568	Up
map00020 Citrate cycle (TCA cycle)	A0A1D5PIF0	K00235	4.117371538779446	Up
map00020 Citrate cycle (TCA cycle)	A0A1D5PQV0	K01681	0.3776614319086473	Down
map00020 Citrate cycle (TCA cycle)	A0A8V0ZAK3	K01900	3.8922958025175807	Up
map00020 Citrate cycle (TCA cycle)	E1BVT3	K00026	2.17501174523268	Up
map00020 Citrate cycle (TCA cycle)	Q5F3B9	K01900	4.896818477633566	Up
map00020 Citrate cycle (TCA cycle)	A0A1D5P1U2	K00162	2.360741878574036	Up
map00020 Citrate cycle (TCA cycle)	A0A1D5PEH3	K00161	3.22359559416354	Up
map00020 Citrate cycle (TCA cycle)	A0A1D5PQV3	K00658	2.3563010467052568	Up
map00020 Citrate cycle (TCA cycle)	A0A8V0Y9B0	K01679	1.595895185714519	Up
map00020 Citrate cycle (TCA cycle)	A0A8V0ZPJ9	K00031	0.5582220200010373	Down
map00020 Citrate cycle (TCA cycle)	A0A8V0ZRW5	K00030	4.404301677615186	Up
map00020 Citrate cycle (TCA cycle)	A0A8V0ZVS5	K01647	2.060114446445703	Up
map00020 Citrate cycle (TCA cycle)	A0A8V0ZWH3	K00627	2.735134602681624	Up
map00020 Citrate cycle (TCA cycle)	A0A8V0YGM0	K01681	1.5652968013135953	Up
map00071 Fatty acid degradation	A0A8V0Y4M6	K00255	3.403019883084802	Up
map00071 Fatty acid degradation	A0A8V0X3M7	K09478	2.5535255131444785	Up
map00071 Fatty acid degradation	A0A8V0XMJ6	K01897	2.715592026518483	Up
map00071 Fatty acid degradation	A0A8V0Y492	K07515	2.106522046571114	Up
map00071 Fatty acid degradation	A0A8V0YB71	K07509	2.056442690024779	Up
map00071 Fatty acid degradation	A0A8V0ZAL2	K01897	2.0131116085705147	Up
map00071 Fatty acid degradation	A0A1D5NYK3	K00252	1.7327147565196477	Up
map00071 Fatty acid degradation	A0A8V0XE68	K00626	2.9048761746662444	Up
