Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00052 Laminin B (Domain IV),2,3,10,46,3.07,0.11462450592885425,0.94,A0A8V0ZKI3 A0A8V0Z3S9
PF00053 Laminin EGF domain,2,3,10,46,3.07,0.11462450592885425,0.94,A0A8V0ZKI3 A0A8V0Z3S9
PF00054 Laminin G domain,2,2,10,46,4.6,0.043478260869565334,1.36,A0A8V0ZKI3 A0A8V0Z3S9
PF00094 von Willebrand factor type D domain,2,4,10,46,2.3,0.2014891074547295,0.7,A0A8V0Z932 A0A8V1A049
