Domain description,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
PF00052 Laminin B (Domain IV),2,3,14,46,2.19,0.2158102766798426,0.67,A0A8V0ZKI3 A0A8V0Z3S9
PF00053 Laminin EGF domain,2,3,14,46,2.19,0.2158102766798426,0.67,A0A8V0ZKI3 A0A8V0Z3S9
PF00054 Laminin G domain,2,2,14,46,3.29,0.08792270531400957,1.06,A0A8V0ZKI3 A0A8V0Z3S9
PF00094 von Willebrand factor type D domain,2,4,14,46,1.64,0.574470692772009,0.24,A0A8V0Z932 A0A8V1A049
